property_name,property_id,link
"3 BHK Flat in Sector 83, Gurgaon",K90278636,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-emaar-palm-gardens-sector-83-gurgaon-1900-sq-ft-spid-K90278636
"4 BHK Flat in Sector 89, Gurgaon",O89221433,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-zenith-sector-89-gurgaon-3123-sq-ft-spid-O89221433
"3 BHK Flat in Sector 104, Gurgaon",D90081536,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-hero-homes-sector-104-gurgaon-1689-sq-ft-spid-D90081536
"3 BHK Flat in Sector 67, Gurgaon",Y90123256,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-merlin-sector-67-gurgaon-2047-sq-ft-spid-Y90123256
"2 BHK Flat in Sohna, Gurgaon",M89713290,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-breez-global-heights-sohna-gurgaon-623-sq-ft-spid-M89713290
"3 BHK Flat in Nirvana Country, Gurgaon",Z90082376,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-escape-nirvana-country-gurgaon-1936-sq-ft-spid-Z90082376
"3 BHK Flat in Sector 56, Gurgaon",T88383910,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-park-royal-apartment-sector-56-gurgaon-2350-sq-ft-spid-T88383910
"4 BHK Flat in DLF Phase 4, Gurgaon",Z89635348,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-windsor-court-dlf-phase-4-gurgaon-2940-sq-ft-spid-Z89635348
"4 BHK Flat in Sector 85, Gurgaon",U89845440,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-air-sector-85-gurgaon-2599-sq-ft-spid-U89845440
"3 BHK Flat in Sector 56, Gurgaon",Z88885172,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-city-cooperative-society-sector-56-gurgaon-2250-sq-ft-spid-Z88885172
"2 BHK Flat in Sohna, Gurgaon",M89582900,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eldeco-accolade-sohna-gurgaon-1269-sq-ft-spid-M89582900
"4 BHK Flat in Sector 106, Gurgaon",S90286974,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-godrej-meridien-sector-106-gurgaon-2027-sq-ft-spid-S90286974
"4 BHK Flat in Sector 61, Gurgaon",Z64585288,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-pioneer-park-sector-61-gurgaon-2550-sq-ft-r3-spid-Z64585288
"3 BHK Flat in Sector 62, Gurgaon",D89335449,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-conscient-heritage-one-sector-62-gurgaon-1996-sq-ft-spid-D89335449
"2 BHK Flat in Sohna, Gurgaon",L89631614,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gls-arawali-homes-sohna-gurgaon-476-sq-ft-spid-L89631614
"4 BHK Flat in Sector 106, Gurgaon",R89436996,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-elan-the-presidential-sector-106-gurgaon-3075-sq-ft-spid-R89436996
"3 BHK Flat in Sector 89, Gurgaon",B89758184,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-zenith-sector-89-gurgaon-1750-sq-ft-spid-B89758184
"4 BHK Flat in Sector 86, Gurgaon",M89663500,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-dlf-new-town-heights-2-sector-86-gurgaon-2356-sq-ft-spid-M89663500
"3 BHK Flat in Sector 108, Gurgaon",Z89532800,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sobha-city-sector-108-gurgaon-1711-sq-ft-spid-Z89532800
